LSU_rRNA_eukarya 1-3401 (+1)	=> 8855-11955 (-1)
mir-160 49-87 (+1)	=> 19009092-19009130 (-1)

MIR405 1-122 (+1)	=> 19425945-19426055 (-1)
Percent identity: 
Cigar string: 41M2I4M25I34D41M
ungapped:
MIR405 1-41 (+1)	=> 19426015-19426055 (-1)
MIR405 42-45 (+1)	=> 19426009-19426012 (-1)
MIR405 80-120 (+1)	=> 19425943-19425983 (-1)

MIR405 1-122 (+1)	=> 19495950-19496075 (+1)
Percent identity: 
Cigar string: 29M2D71M2D22M
ungapped:
MIR405 1-29 (+1)	=> 19495950-19495978 (+1)
MIR405 32-102 (+1)	=> 19495979-19496049 (+1)
MIR405 105-126 (+1)	=> 19496050-19496071 (+1)

MIR405 1-122 (+1)	=> 19495958-19496079 (-1)
Percent identity: 
Cigar string: 122M
ungapped:
MIR405 1-122 (+1)	=> 19495958-19496079 (-1)

U4 1-140 (+1)	=> 19885594-19885744 (-1)
Percent identity: 
Cigar string: 10MD71MI6MD14MD32M9D6M
ungapped:
U4 1-10 (+1)	=> 19885735-19885744 (-1)
U4 12-82 (+1)	=> 19885664-19885734 (-1)
U4 83-88 (+1)	=> 19885657-19885662 (-1)
U4 90-103 (+1)	=> 19885643-19885656 (-1)
U4 105-136 (+1)	=> 19885611-19885642 (-1)
U4 146-151 (+1)	=> 19885605-19885610 (-1)

U1 1-166 (+1)	=> 19885933-19886096 (-1)
Percent identity: 
Cigar string: 48MI24M2D31MI7MI24MI28M
ungapped:
U1 1-48 (+1)	=> 19886049-19886096 (-1)
U1 49-72 (+1)	=> 19886024-19886047 (-1)
U1 75-105 (+1)	=> 19885993-19886023 (-1)
U1 106-112 (+1)	=> 19885985-19885991 (-1)
U1 113-136 (+1)	=> 19885960-19885983 (-1)
U1 137-164 (+1)	=> 19885931-19885958 (-1)

U1 1-166 (+1)	=> 20095050-20095207 (-1)
Percent identity: 
Cigar string: 48MIM35I39D15MI7MI24MI28M
ungapped:
U1 1-48 (+1)	=> 20095160-20095207 (-1)
U1 49-49 (+1)	=> 20095158-20095158 (-1)
U1 89-103 (+1)	=> 20095108-20095122 (-1)
U1 104-110 (+1)	=> 20095100-20095106 (-1)
U1 111-134 (+1)	=> 20095075-20095098 (-1)
U1 135-162 (+1)	=> 20095046-20095073 (-1)

MIR405 1-122 (+1)	=> 20632514-20632637 (+1)
Percent identity: 
Cigar string: 48MD32MD42M
ungapped:
MIR405 1-48 (+1)	=> 20632514-20632561 (+1)
MIR405 50-81 (+1)	=> 20632562-20632593 (+1)
MIR405 83-124 (+1)	=> 20632594-20632635 (+1)

MIR405 1-122 (+1)	=> 20632517-20632645 (-1)
Percent identity: 
Cigar string: 29M2D19MD32MD20M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 20632617-20632645 (-1)
MIR405 32-50 (+1)	=> 20632598-20632616 (-1)
MIR405 52-83 (+1)	=> 20632566-20632597 (-1)
MIR405 85-104 (+1)	=> 20632546-20632565 (-1)
MIR405 107-122 (+1)	=> 20632530-20632545 (-1)
MIR405 124-129 (+1)	=> 20632524-20632529 (-1)

snoZ107_R87 1-117 (+1)	=> 20795719-20795831 (+1)
Percent identity: 
Cigar string: 2MD19MI40M4I51M
ungapped:
snoZ107_R87 1-2 (+1)	=> 20795719-20795720 (+1)
snoZ107_R87 4-22 (+1)	=> 20795721-20795739 (+1)
snoZ107_R87 23-62 (+1)	=> 20795741-20795780 (+1)
snoZ107_R87 63-113 (+1)	=> 20795785-20795835 (+1)

snoR30 1-96 (+1)	=> 20795957-20796052 (+1)
Percent identity: 
Cigar string: 96M
ungapped:
snoR30 1-96 (+1)	=> 20795957-20796052 (+1)

snoR31 1-100 (+1)	=> 20796128-20796227 (+1)
Percent identity: 
Cigar string: 100M
ungapped:
snoR31 1-100 (+1)	=> 20796128-20796227 (+1)

U1 1-166 (+1)	=> 20996759-20996922 (+1)
Percent identity: 
Cigar string: 52MI20M2D31MI7MI24MI28M
ungapped:
U1 1-52 (+1)	=> 20996759-20996810 (+1)
U1 53-72 (+1)	=> 20996812-20996831 (+1)
U1 75-105 (+1)	=> 20996832-20996862 (+1)
U1 106-112 (+1)	=> 20996864-20996870 (+1)
U1 113-136 (+1)	=> 20996872-20996895 (+1)
U1 137-164 (+1)	=> 20996897-20996924 (+1)

snoR60 1-72 (+1)	=> 21295736-21295809 (+1)
Percent identity: 
Cigar string: 41MD14MD17M
ungapped:
snoR60 1-41 (+1)	=> 21295736-21295776 (+1)
snoR60 43-56 (+1)	=> 21295777-21295790 (+1)
snoR60 58-74 (+1)	=> 21295791-21295807 (+1)

Plant_U3 1-221 (+1)	=> 21811766-21811983 (-1)
Percent identity: 
Cigar string: 127MI3MI62MI26M
ungapped:
Plant_U3 1-127 (+1)	=> 21811857-21811983 (-1)
Plant_U3 128-130 (+1)	=> 21811853-21811855 (-1)
Plant_U3 131-192 (+1)	=> 21811790-21811851 (-1)
Plant_U3 193-218 (+1)	=> 21811763-21811788 (-1)

Fungi_U3 1-276 (+1)	=> 21811767-21811979 (-1)
Percent identity: 
Cigar string: 6M4I22MI12MD9MD18M2D18M2I42M29I54D24MI17D22MI15M
ungapped:
Fungi_U3 1-6 (+1)	=> 21811974-21811979 (-1)
Fungi_U3 7-28 (+1)	=> 21811948-21811969 (-1)
Fungi_U3 29-40 (+1)	=> 21811935-21811946 (-1)
Fungi_U3 42-50 (+1)	=> 21811926-21811934 (-1)
Fungi_U3 52-69 (+1)	=> 21811908-21811925 (-1)
Fungi_U3 72-89 (+1)	=> 21811890-21811907 (-1)
Fungi_U3 90-131 (+1)	=> 21811846-21811887 (-1)
Fungi_U3 186-209 (+1)	=> 21811793-21811816 (-1)
Fungi_U3 227-248 (+1)	=> 21811770-21811791 (-1)
Fungi_U3 249-263 (+1)	=> 21811754-21811768 (-1)

U3 1-218 (+1)	=> 21811767-21811983 (-1)
Percent identity: 
Cigar string: 13MD37MI13M3D51MD6MI5MI5MI2M3I12MI16M3D14MI35M
ungapped:
U3 1-13 (+1)	=> 21811971-21811983 (-1)
U3 15-51 (+1)	=> 21811934-21811970 (-1)
U3 52-64 (+1)	=> 21811920-21811932 (-1)
U3 68-118 (+1)	=> 21811869-21811919 (-1)
U3 120-125 (+1)	=> 21811863-21811868 (-1)
U3 126-130 (+1)	=> 21811857-21811861 (-1)
U3 131-135 (+1)	=> 21811851-21811855 (-1)
U3 136-137 (+1)	=> 21811848-21811849 (-1)
U3 138-149 (+1)	=> 21811833-21811844 (-1)
U3 150-165 (+1)	=> 21811816-21811831 (-1)
U3 169-182 (+1)	=> 21811802-21811815 (-1)
U3 183-217 (+1)	=> 21811766-21811800 (-1)

U5 1-116 (+1)	=> 21812666-21812781 (-1)
Percent identity: 
Cigar string: 6MI67MD42M
ungapped:
U5 1-6 (+1)	=> 21812776-21812781 (-1)
U5 7-73 (+1)	=> 21812708-21812774 (-1)
U5 75-116 (+1)	=> 21812666-21812707 (-1)

Plant_U3 1-221 (+1)	=> 21814031-21814248 (-1)
Percent identity: 
Cigar string: 128MI2MI62MI26M
ungapped:
Plant_U3 1-128 (+1)	=> 21814121-21814248 (-1)
Plant_U3 129-130 (+1)	=> 21814118-21814119 (-1)
Plant_U3 131-192 (+1)	=> 21814055-21814116 (-1)
Plant_U3 193-218 (+1)	=> 21814028-21814053 (-1)

Fungi_U3 1-276 (+1)	=> 21814032-21814244 (-1)
Percent identity: 
Cigar string: 6M4I22MI12MD9MD18M2D18M2I42M29I54D23M3I19D21MI15M
ungapped:
Fungi_U3 1-6 (+1)	=> 21814239-21814244 (-1)
Fungi_U3 7-28 (+1)	=> 21814213-21814234 (-1)
Fungi_U3 29-40 (+1)	=> 21814200-21814211 (-1)
Fungi_U3 42-50 (+1)	=> 21814191-21814199 (-1)
Fungi_U3 52-69 (+1)	=> 21814173-21814190 (-1)
Fungi_U3 72-89 (+1)	=> 21814155-21814172 (-1)
Fungi_U3 90-131 (+1)	=> 21814111-21814152 (-1)
Fungi_U3 186-208 (+1)	=> 21814059-21814081 (-1)
Fungi_U3 228-248 (+1)	=> 21814035-21814055 (-1)
Fungi_U3 249-263 (+1)	=> 21814019-21814033 (-1)

U3 1-218 (+1)	=> 21814032-21814248 (-1)
Percent identity: 
Cigar string: 13MD37MI13M3D63MI5MI2M3I17MI11M3D14MI35M
ungapped:
U3 1-13 (+1)	=> 21814236-21814248 (-1)
U3 15-51 (+1)	=> 21814199-21814235 (-1)
U3 52-64 (+1)	=> 21814185-21814197 (-1)
U3 68-130 (+1)	=> 21814122-21814184 (-1)
U3 131-135 (+1)	=> 21814116-21814120 (-1)
U3 136-137 (+1)	=> 21814113-21814114 (-1)
U3 138-154 (+1)	=> 21814093-21814109 (-1)
U3 155-165 (+1)	=> 21814081-21814091 (-1)
U3 169-182 (+1)	=> 21814067-21814080 (-1)
U3 183-217 (+1)	=> 21814031-21814065 (-1)

U3 1-218 (+1)	=> 21888292-21888509 (+1)
Percent identity: 
Cigar string: 13MD37MI13M3D51MD6MI5MI5MIM3I13MI16M3D50M
ungapped:
U3 1-13 (+1)	=> 21888292-21888304 (+1)
U3 15-51 (+1)	=> 21888305-21888341 (+1)
U3 52-64 (+1)	=> 21888343-21888355 (+1)
U3 68-118 (+1)	=> 21888356-21888406 (+1)
U3 120-125 (+1)	=> 21888407-21888412 (+1)
U3 126-130 (+1)	=> 21888414-21888418 (+1)
U3 131-135 (+1)	=> 21888420-21888424 (+1)
U3 136-136 (+1)	=> 21888426-21888426 (+1)
U3 137-149 (+1)	=> 21888430-21888442 (+1)
U3 150-165 (+1)	=> 21888444-21888459 (+1)
U3 169-218 (+1)	=> 21888460-21888509 (+1)

Plant_U3 1-221 (+1)	=> 21888292-21888510 (+1)
Percent identity: 
Cigar string: 127MI3MI37MD14MI37M
ungapped:
Plant_U3 1-127 (+1)	=> 21888292-21888418 (+1)
Plant_U3 128-130 (+1)	=> 21888420-21888422 (+1)
Plant_U3 131-167 (+1)	=> 21888424-21888460 (+1)
Plant_U3 169-182 (+1)	=> 21888461-21888474 (+1)
Plant_U3 183-219 (+1)	=> 21888476-21888512 (+1)

Fungi_U3 1-276 (+1)	=> 21888296-21888509 (+1)
Percent identity: 
Cigar string: 6M4I22MI12MD9MD18M2D18M2I41M31I54D23M9I4M6I21MI15M
ungapped:
Fungi_U3 1-6 (+1)	=> 21888296-21888301 (+1)
Fungi_U3 7-28 (+1)	=> 21888306-21888327 (+1)
Fungi_U3 29-40 (+1)	=> 21888329-21888340 (+1)
Fungi_U3 42-50 (+1)	=> 21888341-21888349 (+1)
Fungi_U3 52-69 (+1)	=> 21888350-21888367 (+1)
Fungi_U3 72-89 (+1)	=> 21888368-21888385 (+1)
Fungi_U3 90-130 (+1)	=> 21888388-21888428 (+1)
Fungi_U3 185-207 (+1)	=> 21888460-21888482 (+1)
Fungi_U3 208-211 (+1)	=> 21888492-21888495 (+1)
Fungi_U3 212-232 (+1)	=> 21888502-21888522 (+1)
Fungi_U3 233-247 (+1)	=> 21888524-21888538 (+1)

U5 1-116 (+1)	=> 21939739-21939855 (-1)
Percent identity: 
Cigar string: 6MI67MD33MD9M
ungapped:
U5 1-6 (+1)	=> 21939850-21939855 (-1)
U5 7-73 (+1)	=> 21939782-21939848 (-1)
U5 75-107 (+1)	=> 21939749-21939781 (-1)
U5 109-117 (+1)	=> 21939740-21939748 (-1)

Plant_U3 1-221 (+1)	=> 21945390-21945607 (-1)
Percent identity: 
Cigar string: 127MI3MI62MI26M
ungapped:
Plant_U3 1-127 (+1)	=> 21945481-21945607 (-1)
Plant_U3 128-130 (+1)	=> 21945477-21945479 (-1)
Plant_U3 131-192 (+1)	=> 21945414-21945475 (-1)
Plant_U3 193-218 (+1)	=> 21945387-21945412 (-1)

Fungi_U3 1-276 (+1)	=> 21945391-21945603 (-1)
Percent identity: 
Cigar string: 6M4I22MI12MD9MD18M2D18M2I41M31I54D23M3I19D21MI15M
ungapped:
Fungi_U3 1-6 (+1)	=> 21945598-21945603 (-1)
Fungi_U3 7-28 (+1)	=> 21945572-21945593 (-1)
Fungi_U3 29-40 (+1)	=> 21945559-21945570 (-1)
Fungi_U3 42-50 (+1)	=> 21945550-21945558 (-1)
Fungi_U3 52-69 (+1)	=> 21945532-21945549 (-1)
Fungi_U3 72-89 (+1)	=> 21945514-21945531 (-1)
Fungi_U3 90-130 (+1)	=> 21945471-21945511 (-1)
Fungi_U3 185-207 (+1)	=> 21945417-21945439 (-1)
Fungi_U3 227-247 (+1)	=> 21945393-21945413 (-1)
Fungi_U3 248-262 (+1)	=> 21945377-21945391 (-1)

U3 1-218 (+1)	=> 21945391-21945607 (-1)
Percent identity: 
Cigar string: 13MD37MI13M3D51MD6MI5MI5MIM3I13MI16M3D14MI35M
ungapped:
U3 1-13 (+1)	=> 21945595-21945607 (-1)
U3 15-51 (+1)	=> 21945558-21945594 (-1)
U3 52-64 (+1)	=> 21945544-21945556 (-1)
U3 68-118 (+1)	=> 21945493-21945543 (-1)
U3 120-125 (+1)	=> 21945487-21945492 (-1)
U3 126-130 (+1)	=> 21945481-21945485 (-1)
U3 131-135 (+1)	=> 21945475-21945479 (-1)
U3 136-136 (+1)	=> 21945473-21945473 (-1)
U3 137-149 (+1)	=> 21945457-21945469 (-1)
U3 150-165 (+1)	=> 21945440-21945455 (-1)
U3 169-182 (+1)	=> 21945426-21945439 (-1)
U3 183-217 (+1)	=> 21945390-21945424 (-1)

U3 1-218 (+1)	=> 21990592-21990808 (+1)
Percent identity: 
Cigar string: 13MD37MI21M3D55MI4M2I4M2I16MI11M3D14MI35M
ungapped:
U3 1-13 (+1)	=> 21990592-21990604 (+1)
U3 15-51 (+1)	=> 21990605-21990641 (+1)
U3 52-72 (+1)	=> 21990643-21990663 (+1)
U3 76-130 (+1)	=> 21990664-21990718 (+1)
U3 131-134 (+1)	=> 21990720-21990723 (+1)
U3 135-138 (+1)	=> 21990726-21990729 (+1)
U3 139-154 (+1)	=> 21990732-21990747 (+1)
U3 155-165 (+1)	=> 21990749-21990759 (+1)
U3 169-182 (+1)	=> 21990760-21990773 (+1)
U3 183-217 (+1)	=> 21990775-21990809 (+1)

Plant_U3 1-221 (+1)	=> 21990592-21990809 (+1)
Percent identity: 
Cigar string: 127MI3MI62MI26M
ungapped:
Plant_U3 1-127 (+1)	=> 21990592-21990718 (+1)
Plant_U3 128-130 (+1)	=> 21990720-21990722 (+1)
Plant_U3 131-192 (+1)	=> 21990724-21990785 (+1)
Plant_U3 193-218 (+1)	=> 21990787-21990812 (+1)

Fungi_U3 1-276 (+1)	=> 21990596-21990808 (+1)
Percent identity: 
Cigar string: 6M4I22MI9M6D14MI5MI27M2I35M3I3M4I5M20I54D23M3I19D21MI15M
ungapped:
Fungi_U3 1-6 (+1)	=> 21990596-21990601 (+1)
Fungi_U3 7-28 (+1)	=> 21990606-21990627 (+1)
Fungi_U3 29-37 (+1)	=> 21990629-21990637 (+1)
Fungi_U3 44-57 (+1)	=> 21990638-21990651 (+1)
Fungi_U3 58-62 (+1)	=> 21990653-21990657 (+1)
Fungi_U3 63-89 (+1)	=> 21990659-21990685 (+1)
Fungi_U3 90-124 (+1)	=> 21990688-21990722 (+1)
Fungi_U3 125-127 (+1)	=> 21990726-21990728 (+1)
Fungi_U3 128-132 (+1)	=> 21990733-21990737 (+1)
Fungi_U3 187-209 (+1)	=> 21990758-21990780 (+1)
Fungi_U3 229-249 (+1)	=> 21990784-21990804 (+1)
Fungi_U3 250-264 (+1)	=> 21990806-21990820 (+1)

mir-144 1-85 (+1)	=> 22704824-22704903 (-1)
Percent identity: 
Cigar string: 24MI10M4I46M
ungapped:
mir-144 1-24 (+1)	=> 22704880-22704903 (-1)
mir-144 25-34 (+1)	=> 22704869-22704878 (-1)
mir-144 35-80 (+1)	=> 22704819-22704864 (-1)

snoR12 1-83 (+1)	=> 22828808-22828898 (+1)
Percent identity: 
Cigar string: 45M6D6M3D12MI19M
ungapped:
snoR12 1-45 (+1)	=> 22828808-22828852 (+1)
snoR12 52-57 (+1)	=> 22828853-22828858 (+1)
snoR12 61-72 (+1)	=> 22828859-22828870 (+1)
snoR12 73-91 (+1)	=> 22828872-22828890 (+1)

SNORD24 1-76 (+1)	=> 22828961-22829045 (+1)
Percent identity: 
Cigar string: 15MD27M8D34M
ungapped:
SNORD24 1-15 (+1)	=> 22828961-22828975 (+1)
SNORD24 17-43 (+1)	=> 22828976-22829002 (+1)
SNORD24 52-85 (+1)	=> 22829003-22829036 (+1)

U2 1-193 (+1)	=> 23431296-23431491 (-1)
Percent identity: 
Cigar string: 6MD80MI37M2D54MD15M
ungapped:
U2 1-6 (+1)	=> 23431486-23431491 (-1)
U2 8-87 (+1)	=> 23431406-23431485 (-1)
U2 88-124 (+1)	=> 23431368-23431404 (-1)
U2 127-180 (+1)	=> 23431314-23431367 (-1)
U2 182-196 (+1)	=> 23431299-23431313 (-1)

snoR103 1-106 (+1)	=> 23440301-23440406 (+1)
Percent identity: 
Cigar string: 106M
ungapped:
snoR103 1-106 (+1)	=> 23440301-23440406 (+1)

MIR390 1-123 (+1)	=> 23636947-23637066 (-1)
Percent identity: 
Cigar string: 40M5I15M2D63M
ungapped:
MIR390 1-40 (+1)	=> 23637027-23637066 (-1)
MIR390 41-55 (+1)	=> 23637007-23637021 (-1)
MIR390 58-120 (+1)	=> 23636944-23637006 (-1)

MIR390 1-123 (+1)	=> 23636947-23637066 (+1)
Percent identity: 
Cigar string: 47M2I10M3I15M2D46M
ungapped:
MIR390 1-47 (+1)	=> 23636947-23636993 (+1)
MIR390 48-57 (+1)	=> 23636996-23637005 (+1)
MIR390 58-72 (+1)	=> 23637009-23637023 (+1)
MIR390 75-120 (+1)	=> 23637024-23637069 (+1)

snoR38 1-91 (+1)	=> 23682875-23682967 (-1)
Percent identity: 
Cigar string: 54MD20MD17M
ungapped:
snoR38 1-54 (+1)	=> 23682914-23682967 (-1)
snoR38 56-75 (+1)	=> 23682894-23682913 (-1)
snoR38 77-93 (+1)	=> 23682877-23682893 (-1)

SNORD25 1-87 (+1)	=> 23683177-23683261 (-1)
Percent identity: 
Cigar string: 18M2D17M3I20MI28M
ungapped:
SNORD25 1-18 (+1)	=> 23683244-23683261 (-1)
SNORD25 21-37 (+1)	=> 23683227-23683243 (-1)
SNORD25 38-57 (+1)	=> 23683204-23683223 (-1)
SNORD25 58-85 (+1)	=> 23683175-23683202 (-1)

mir-172 1-119 (+1)	=> 23988472-23988596 (-1)
Percent identity: 
Cigar string: 50M42I36D33M
ungapped:
mir-172 1-50 (+1)	=> 23988547-23988596 (-1)
mir-172 87-119 (+1)	=> 23988472-23988504 (-1)

mir-172 1-119 (+1)	=> 23988472-23988596 (+1)
Percent identity: 
Cigar string: 58M2D12M4D15MID33M
ungapped:
mir-172 1-58 (+1)	=> 23988472-23988529 (+1)
mir-172 61-72 (+1)	=> 23988530-23988541 (+1)
mir-172 77-91 (+1)	=> 23988542-23988556 (+1)
mir-172 93-125 (+1)	=> 23988558-23988590 (+1)

snoR35 1-81 (+1)	=> 24058308-24058388 (-1)
Percent identity: 
Cigar string: 81M
ungapped:
snoR35 1-81 (+1)	=> 24058308-24058388 (-1)

tmRNA 1-354 (+1)	=> 24530176-24530251 (+1)
Percent identity: 
Cigar string: 8MD46I309D29M
ungapped:
tmRNA 1-8 (+1)	=> 24530176-24530183 (+1)
tmRNA 319-347 (+1)	=> 24530230-24530258 (+1)

snoR124 1-77 (+1)	=> 24709074-24709141 (-1)
Percent identity: 
Cigar string: 38M9I30M
ungapped:
snoR124 1-38 (+1)	=> 24709104-24709141 (-1)
snoR124 39-68 (+1)	=> 24709065-24709094 (-1)

snoR44_J54 1-97 (+1)	=> 24709215-24709299 (-1)
Percent identity: 
Cigar string: 14MI31M12I16MD23M
ungapped:
snoR44_J54 1-14 (+1)	=> 24709286-24709299 (-1)
snoR44_J54 15-45 (+1)	=> 24709254-24709284 (-1)
snoR44_J54 46-61 (+1)	=> 24709226-24709241 (-1)
snoR44_J54 63-85 (+1)	=> 24709203-24709225 (-1)

U2 1-193 (+1)	=> 24713408-24713603 (-1)
Percent identity: 
Cigar string: 6MD80MI37M2D54MD15M
ungapped:
U2 1-6 (+1)	=> 24713598-24713603 (-1)
U2 8-87 (+1)	=> 24713518-24713597 (-1)
U2 88-124 (+1)	=> 24713480-24713516 (-1)
U2 127-180 (+1)	=> 24713426-24713479 (-1)
U2 182-196 (+1)	=> 24713411-24713425 (-1)

snoZ107_R87 1-117 (+1)	=> 24782696-24782802 (-1)
Percent identity: 
Cigar string: 56M12I18M2D31M
ungapped:
snoZ107_R87 1-56 (+1)	=> 24782747-24782802 (-1)
snoZ107_R87 57-74 (+1)	=> 24782717-24782734 (-1)
snoZ107_R87 77-107 (+1)	=> 24782686-24782716 (-1)

MIR405 1-122 (+1)	=> 24820004-24820126 (+1)
Percent identity: 
Cigar string: 54MD68M
ungapped:
MIR405 1-54 (+1)	=> 24820004-24820057 (+1)
MIR405 56-123 (+1)	=> 24820058-24820125 (+1)

MIR405 1-122 (+1)	=> 24820007-24820134 (-1)
Percent identity: 
Cigar string: 29M2D45MD26M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 24820106-24820134 (-1)
MIR405 32-76 (+1)	=> 24820061-24820105 (-1)
MIR405 78-103 (+1)	=> 24820035-24820060 (-1)
MIR405 106-121 (+1)	=> 24820019-24820034 (-1)
MIR405 123-128 (+1)	=> 24820013-24820018 (-1)

mir-399 1-118 (+1)	=> 24962484-24962599 (+1)
Percent identity: 
Cigar string: 9MD7MI21MD19M3I20MI28MD9M
ungapped:
mir-399 1-9 (+1)	=> 24962484-24962492 (+1)
mir-399 11-17 (+1)	=> 24962493-24962499 (+1)
mir-399 18-38 (+1)	=> 24962501-24962521 (+1)
mir-399 40-58 (+1)	=> 24962522-24962540 (+1)
mir-399 59-78 (+1)	=> 24962544-24962563 (+1)
mir-399 79-106 (+1)	=> 24962565-24962592 (+1)
mir-399 108-116 (+1)	=> 24962593-24962601 (+1)

U2 1-193 (+1)	=> 25066564-25066759 (+1)
Percent identity: 
Cigar string: 6MD80MI37M2D54MD15M
ungapped:
U2 1-6 (+1)	=> 25066564-25066569 (+1)
U2 8-87 (+1)	=> 25066570-25066649 (+1)
U2 88-124 (+1)	=> 25066651-25066687 (+1)
U2 127-180 (+1)	=> 25066688-25066741 (+1)
U2 182-196 (+1)	=> 25066742-25066756 (+1)

U6 1-104 (+1)	=> 25279599-25279701 (+1)
Percent identity: 
Cigar string: 5MI4MI72MD21M
ungapped:
U6 1-5 (+1)	=> 25279599-25279603 (+1)
U6 6-9 (+1)	=> 25279605-25279608 (+1)
U6 10-81 (+1)	=> 25279610-25279681 (+1)
U6 83-103 (+1)	=> 25279682-25279702 (+1)

mir-166 1-126 (+1)	=> 25504808-25504907 (+1)
Percent identity: 
Cigar string: 41M26I59M
ungapped:
mir-166 1-41 (+1)	=> 25504808-25504848 (+1)
mir-166 42-100 (+1)	=> 25504875-25504933 (+1)

snoR126 1-101 (+1)	=> 26348795-26348899 (-1)
Percent identity: 
Cigar string: 47M4D54M
ungapped:
snoR126 1-47 (+1)	=> 26348853-26348899 (-1)
snoR126 52-105 (+1)	=> 26348799-26348852 (-1)

snoR8a 1-92 (+1)	=> 26349733-26349829 (-1)
Percent identity: 
Cigar string: 21M4D17MD12MD19M2I19MD2M
ungapped:
snoR8a 1-21 (+1)	=> 26349809-26349829 (-1)
snoR8a 26-42 (+1)	=> 26349792-26349808 (-1)
snoR8a 44-55 (+1)	=> 26349780-26349791 (-1)
snoR8a 57-75 (+1)	=> 26349761-26349779 (-1)
snoR8a 76-94 (+1)	=> 26349740-26349758 (-1)
snoR8a 96-97 (+1)	=> 26349738-26349739 (-1)

MIR171_1 1-101 (+1)	=> 26411582-26411667 (-1)
Percent identity: 
Cigar string: 47M15I39M
ungapped:
MIR171_1 1-47 (+1)	=> 26411621-26411667 (-1)
MIR171_1 48-86 (+1)	=> 26411567-26411605 (-1)

SNOR75 1-88 (+1)	=> 26567369-26567456 (+1)
Percent identity: 
Cigar string: 21MD27MI39M
ungapped:
SNOR75 1-21 (+1)	=> 26567369-26567389 (+1)
SNOR75 23-49 (+1)	=> 26567390-26567416 (+1)
SNOR75 50-88 (+1)	=> 26567418-26567456 (+1)

SNOR75 1-88 (+1)	=> 26567520-26567607 (+1)
Percent identity: 
Cigar string: 21MD32MI34M
ungapped:
SNOR75 1-21 (+1)	=> 26567520-26567540 (+1)
SNOR75 23-54 (+1)	=> 26567541-26567572 (+1)
SNOR75 55-88 (+1)	=> 26567574-26567607 (+1)

snoZ105 1-72 (+1)	=> 26567659-26567729 (+1)
Percent identity: 
Cigar string: 41MD2M2I27M
ungapped:
snoZ105 1-41 (+1)	=> 26567659-26567699 (+1)
snoZ105 43-44 (+1)	=> 26567700-26567701 (+1)
snoZ105 45-71 (+1)	=> 26567704-26567730 (+1)

U2 1-193 (+1)	=> 26949658-26949853 (+1)
Percent identity: 
Cigar string: 6MD80MI37M2D54MD15M
ungapped:
U2 1-6 (+1)	=> 26949658-26949663 (+1)
U2 8-87 (+1)	=> 26949664-26949743 (+1)
U2 88-124 (+1)	=> 26949745-26949781 (+1)
U2 127-180 (+1)	=> 26949782-26949835 (+1)
U2 182-196 (+1)	=> 26949836-26949850 (+1)

mir-166 1-126 (+1)	=> 369851-369996 (+1)
Percent identity: 
Cigar string: 62M20D64M
ungapped:
mir-166 1-62 (+1)	=> 369851-369912 (+1)
mir-166 83-146 (+1)	=> 369913-369976 (+1)

mir-166 1-126 (+1)	=> 369851-369996 (-1)
Percent identity: 
Cigar string: 62M20D64M
ungapped:
mir-166 1-62 (+1)	=> 369935-369996 (-1)
mir-166 83-146 (+1)	=> 369871-369934 (-1)

Plant_U3 1-221 (+1)	=> 421983-422194 (+1)
Percent identity: 
Cigar string: 14M11I21MD7M3D4MI2D69MI3MI62MI26M
ungapped:
Plant_U3 1-14 (+1)	=> 421983-421996 (+1)
Plant_U3 15-35 (+1)	=> 422008-422028 (+1)
Plant_U3 37-43 (+1)	=> 422029-422035 (+1)
Plant_U3 47-50 (+1)	=> 422036-422039 (+1)
Plant_U3 53-121 (+1)	=> 422041-422109 (+1)
Plant_U3 122-124 (+1)	=> 422111-422113 (+1)
Plant_U3 125-186 (+1)	=> 422115-422176 (+1)
Plant_U3 187-212 (+1)	=> 422178-422203 (+1)

snoU19 1-144 (+1)	=> 687715-687867 (+1)
Percent identity: 
Cigar string: 38MD42M2I27M15I7D9M2D19M
ungapped:
snoU19 1-38 (+1)	=> 687715-687752 (+1)
snoU19 40-81 (+1)	=> 687753-687794 (+1)
snoU19 82-108 (+1)	=> 687797-687823 (+1)
snoU19 116-124 (+1)	=> 687839-687847 (+1)
snoU19 127-145 (+1)	=> 687848-687866 (+1)

snoR138 1-154 (+1)	=> 687898-688053 (+1)
Percent identity: 
Cigar string: 67M2D87M
ungapped:
snoR138 1-67 (+1)	=> 687898-687964 (+1)
snoR138 70-156 (+1)	=> 687965-688051 (+1)

U2 1-193 (+1)	=> 815273-815468 (+1)
Percent identity: 
Cigar string: 6MD80MI37M2D54MD15M
ungapped:
U2 1-6 (+1)	=> 815273-815278 (+1)
U2 8-87 (+1)	=> 815279-815358 (+1)
U2 88-124 (+1)	=> 815360-815396 (+1)
U2 127-180 (+1)	=> 815397-815450 (+1)
U2 182-196 (+1)	=> 815451-815465 (+1)

U5 1-116 (+1)	=> 1114509-1114626 (-1)
Percent identity: 
Cigar string: 6MI89M3D20M
ungapped:
U5 1-6 (+1)	=> 1114621-1114626 (-1)
